,label,max,min,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_q01,green_q01,blue_q01,red_q09,green_q09,blue_q09
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\07_ADIPOSE\10006_CRC-Prim-HE-03_012.tif_Row_601_Col_2251.tif,ADIPOSE,255,22,217.7452,205.8824888888889,218.2728888888889,43.7909012526065,56.35558428432546,42.477096815538104,145.0,105.0,151.0,245.0,241.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\07_ADIPOSE\1000E_CRC-Prim-HE-07.tif_Row_901_Col_4201.tif,ADIPOSE,255,44,234.5812,235.04133333333334,240.10164444444445,15.644552687190904,22.453748570982974,13.367547002025885,219.0,208.0,228.0,241.0,244.0,246.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\07_ADIPOSE\1003E_CRC-Prim-HE-05_032.tif_Row_1951_Col_2701.tif,ADIPOSE,255,42,236.88155555555556,234.39782222222223,237.30613333333332,19.161910535174513,25.91098616699735,19.572088236510893,218.0,205.0,219.0,247.0,246.0,247.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\07_ADIPOSE\10070_CRC-Prim-HE-04_036.tif_Row_601_Col_601.tif,ADIPOSE,255,40,220.06217777777778,208.40542222222223,225.31724444444444,23.015125474144693,32.74666241754151,20.19122747812973,189.0,164.0,202.0,242.0,240.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\07_ADIPOSE\10077_CRC-Prim-HE-05_032.tif_Row_451_Col_601.tif,ADIPOSE,255,54,233.8743111111111,230.8659111111111,233.50004444444446,21.632825419639136,29.826589519965978,22.549360178114824,211.0,193.0,211.0,245.0,245.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\07_ADIPOSE\100AC_CRC-Prim-HE-06_004.tif_Row_451_Col_1.tif,ADIPOSE,255,31,237.05026666666666,234.42222222222222,237.54062222222223,16.2080037133921,21.028538163267985,16.08305646917344,221.0,211.0,222.0,246.0,245.0,246.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\07_ADIPOSE\100F2_CRC-Prim-HE-03_012.tif_Row_1801_Col_1801.tif,ADIPOSE,255,34,231.8212,225.1189777777778,231.1156,24.92934343085173,34.403432965969294,24.579285157672615,195.0,170.0,197.0,245.0,241.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\07_ADIPOSE\10110_CRC-Prim-HE-06_004.tif_Row_2401_Col_1951.tif,ADIPOSE,254,102,239.66666666666666,238.3487111111111,239.7216,8.153990161604879,11.701699805530994,8.587950479596616,230.0,223.0,229.0,244.0,244.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\07_ADIPOSE\10116_CRC-Prim-HE-03_012.tif_Row_3001_Col_2101.tif,ADIPOSE,255,28,225.81737777777778,215.9748888888889,226.71244444444446,28.008883198243357,37.93840318330371,25.877550558612885,188.0,160.0,195.0,244.0,240.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\07_ADIPOSE\10137_CRC-Prim-HE-05_032.tif_Row_1351_Col_3151.tif,ADIPOSE,255,34,232.08124444444445,228.4432,232.16746666666666,22.405135805248783,31.484519236250215,23.363859066328576,214.0,200.0,216.0,244.0,246.0,244.0
