,label,max,min,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_q01,green_q01,blue_q01,red_q09,green_q09,blue_q09
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\10009_CRC-Prim-HE-03_009.tif_Row_301_Col_151.tif,CANCEROUS,255,3,93.07048888888889,50.90902222222222,109.51995555555555,33.331296074158416,35.534948536453655,40.74631655606309,59.0,21.0,61.0,132.0,86.0,161.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\10062_CRC-Prim-HE-02_003b.tif_Row_1_Col_301.tif,CANCEROUS,255,6,91.35617777777777,40.800355555555555,71.99568888888889,23.784125042920568,23.54703019458476,29.01244222116665,67.0,20.0,43.0,119.0,65.0,108.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\100B0_CRC-Prim-HE-09_009.tif_Row_1_Col_301.tif,CANCEROUS,253,0,105.1763111111111,56.30062222222222,110.02431111111112,33.95483900962965,37.98537179920628,44.3623372301939,69.0,20.0,54.0,149.0,102.0,168.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\10104_CRC-Prim-HE-10_021.tif_Row_451_Col_1.tif,CANCEROUS,255,0,82.17897777777777,42.354977777777776,112.73177777777778,26.49950293579011,25.60913534267619,40.50319069949317,53.0,17.0,62.0,117.0,74.0,168.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\10142_CRC-Prim-HE-09_025.tif_Row_151_Col_151.tif,CANCEROUS,255,5,108.70568888888889,58.55888888888889,104.12235555555556,32.08715982155983,35.50678118157938,41.81907281779794,74.0,25.0,56.0,153.0,106.0,163.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\101A0_CRC-Prim-HE-03_034.tif_Row_151_Col_1.tif,CANCEROUS,255,1,87.1656888888889,48.45746666666667,105.38173333333333,41.34295926183108,44.8721038288454,50.554474158475884,51.0,16.0,53.0,148.0,108.0,186.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\1021F_CRC-Prim-HE-04_029.tif_Row_151_Col_1.tif,CANCEROUS,255,4,106.49888888888889,71.93022222222223,119.88915555555556,53.86318263164464,63.62013603286017,57.35669894187687,56.0,21.0,59.0,212.0,204.0,224.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\10264_CRC-Prim-HE-07_025.tif_Row_1801_Col_1.tif,CANCEROUS,255,0,102.98191111111112,74.51902222222222,124.94733333333333,68.88835013195866,81.1163824687825,70.13711922291083,41.0,12.0,48.0,226.0,226.0,237.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\10286_CRC-Prim-HE-01_002.tif_Row_301_Col_1.tif,CANCEROUS,255,0,70.86151111111111,38.68853333333333,90.55524444444444,47.834999956388764,53.403830591531104,53.09235824115384,38.0,10.0,46.0,131.0,92.0,178.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\1030D_CRC-Prim-HE-02_031.tif_Row_151_Col_1.tif,CANCEROUS,251,4,131.37902222222223,81.41128888888889,122.17022222222222,29.436041172902886,35.86110857344673,40.118707217948774,92.0,37.0,65.0,168.0,126.0,171.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\103B7_CRC-Prim-HE-02_026.tif_Row_1_Col_451.tif,CANCEROUS,250,3,114.82608888888889,62.011066666666665,93.5484,29.910579685918155,33.22942487508467,37.88396570371156,81.0,29.0,52.0,150.0,97.0,140.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\103F_CRC-Prim-HE-02_025.tif_Row_1_Col_301.tif,CANCEROUS,238,4,102.48982222222222,48.979733333333336,79.38084444444445,22.811658490331276,22.132932484723625,28.609463503420848,75.0,25.0,47.0,132.0,78.0,119.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\103F_CRC-Prim-HE-10_013.tif_Row_151_Col_1.tif,CANCEROUS,255,3,113.24293333333334,81.8972888888889,148.04386666666667,57.38619583388025,65.74922108017488,56.022354150860416,58.0,25.0,77.0,218.0,209.0,232.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\10437_CRC-Prim-HE-02_028.tif_Row_151_Col_451.tif,CANCEROUS,255,9,143.14053333333334,100.22782222222222,130.34897777777778,49.91383047417274,66.05448262467051,61.43145767673393,90.0,38.0,62.0,233.0,229.0,238.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\104D5_CRC-Prim-HE-09_024.tif_Row_451_Col_151.tif,CANCEROUS,255,4,120.94013333333334,72.53831111111111,119.50262222222223,39.18137786675905,46.528341650043956,47.046791292305244,78.0,28.0,61.0,181.0,144.0,189.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\1055E_CRC-Prim-HE-01_027.tif_Row_151_Col_301.tif,CANCEROUS,255,0,85.47564444444444,58.60724444444445,103.55435555555556,67.2547943448088,77.4818901333036,68.44118595087645,37.0,10.0,46.0,223.0,223.0,231.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\105C1_CRC-Prim-HE-07_022.tif_Row_151_Col_1.tif,CANCEROUS,255,0,94.82373333333334,60.64902222222222,124.18537777777777,52.1074381239379,57.265079267284776,58.5964503245295,42.0,12.0,50.0,184.0,161.0,213.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\1067D_CRC-Prim-HE-07_007.tif_Row_1_Col_151.tif,CANCEROUS,255,0,99.20271111111111,66.67151111111112,121.28888888888889,63.570671936260716,75.40708930380539,63.41115086734291,48.0,14.0,60.0,226.0,226.0,240.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\1084A_CRC-Prim-HE-01_040.tif_Row_301_Col_1.tif,CANCEROUS,255,0,75.14791111111111,43.19208888888889,102.5604,48.274792019494186,53.117480609524534,55.8871119773901,38.0,10.0,49.0,147.0,113.0,196.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\01_TUMOR\1085B_CRC-Prim-HE-02_034.tif_Row_1_Col_301.tif,CANCEROUS,255,8,126.65946666666666,77.07986666666666,111.1999111111111,40.35283210966874,51.945413862203125,49.34570691664287,86.0,33.0,60.0,196.0,165.0,197.0
