,label,max,min,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_q01,green_q01,blue_q01,red_q09,green_q09,blue_q09
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\03_COMPLEX\10011_CRC-Prim-HE-03_002.tif_Row_451_Col_901.tif,COMPLEX,255,6,122.47893333333333,79.63688888888889,157.76742222222222,28.90379061215163,31.621774061007805,37.22140120383849,86.0,40.0,104.0,160.0,121.0,201.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\03_COMPLEX\1006F_CRC-Prim-HE-01_035.tif_Row_1_Col_1051.tif,COMPLEX,255,1,91.83195555555555,59.397466666666666,137.8664,43.70576245960959,46.416258863845876,58.73822620497406,44.0,15.0,60.0,153.0,124.0,219.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\03_COMPLEX\100EB_CRC-Prim-HE-07_017.tif_Row_1_Col_451.tif,COMPLEX,255,6,115.46862222222222,78.3072,150.9431111111111,45.74976713834557,54.30844772985791,47.42894155457868,68.0,29.0,89.0,187.0,163.0,221.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\03_COMPLEX\1012_CRC-Prim-HE-07_003.tif_Row_1_Col_301.tif,COMPLEX,255,0,85.87102222222222,50.617866666666664,131.25773333333333,35.15369283999033,34.81880616857015,52.94446163644812,48.0,16.0,60.0,134.0,96.0,203.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\03_COMPLEX\1021B_CRC-Prim-HE-07_010.tif_Row_151_Col_1.tif,COMPLEX,255,1,108.45417777777777,68.86888888888889,142.33471111111112,44.12700445924429,50.072657973620856,48.347976765951564,62.0,23.0,78.0,171.0,136.0,205.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\03_COMPLEX\1021C_CRC-Prim-HE-09_015.tif_Row_601_Col_1.tif,COMPLEX,255,4,117.78862222222222,72.52008888888889,133.03982222222223,40.46034035518368,47.42758031161083,46.2924847845083,75.0,28.0,71.0,177.0,139.0,194.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\03_COMPLEX\10427_CRC-Prim-HE-07_004.tif_Row_151_Col_151.tif,COMPLEX,255,2,97.3836,60.171822222222225,130.67457777777778,45.48481463248063,52.44605344130715,51.6865756302085,55.0,19.0,71.0,168.0,139.0,211.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\03_COMPLEX\10457_CRC-Prim-HE-03_002.tif_Row_751_Col_1351.tif,COMPLEX,255,2,126.78444444444445,85.5696,164.15071111111112,29.785674823501132,32.1814204550805,38.416460556856826,89.0,44.0,110.90000000000009,165.0,128.0,206.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\03_COMPLEX\1045D_CRC-Prim-HE-05_012.tif_Row_1_Col_1.tif,COMPLEX,255,5,136.14035555555554,91.6664,146.24537777777778,39.35787977416964,46.10102722326269,48.06392699972646,86.0,36.0,73.0,190.0,155.0,204.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\03_COMPLEX\10566_CRC-Prim-HE-06_006.tif_Row_1_Col_1.tif,COMPLEX,255,8,133.65395555555557,91.85635555555555,154.71911111111112,37.37279206288716,43.69051752759564,44.26792306561525,86.0,40.0,90.0,184.0,151.0,210.0
