,label,max,min,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_q01,green_q01,blue_q01,red_q09,green_q09,blue_q09
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1001C_CRC-Prim-HE-04_012.tif_Row_1_Col_151.tif,DEBRIS,255,29,189.70368888888888,165.39226666666667,194.97671111111111,36.87657220381522,42.32493557356778,24.669988782253867,142.0,100.0,160.0,222.0,208.0,223.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10042_CRC-Prim-HE-01_023.tif_Row_1_Col_601.tif,DEBRIS,255,0,48.873866666666665,47.99786666666667,155.63484444444444,37.64403215715437,32.65075251649379,41.549319492732124,17.0,22.0,109.0,102.0,90.0,220.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1008B_CRC-Prim-HE-08_021.tif_Row_1651_Col_1051.tif,DEBRIS,255,15,161.9936,139.36333333333334,201.52355555555556,57.129552997610304,70.46058906304621,37.44377623142646,89.0,57.0,149.0,234.0,232.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\100D8_CRC-Prim-HE-09_018.tif_Row_1_Col_451.tif,DEBRIS,246,37,194.99866666666668,167.2608888888889,193.39226666666667,17.485859633175505,23.422265363654798,18.50475717142307,173.0,138.0,170.0,216.0,195.0,215.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1012B_CRC-Prim-HE-10_016.tif_Row_1_Col_301.tif,DEBRIS,245,12,185.83253333333334,158.39182222222223,189.79804444444446,26.598844574404517,34.2300996170128,27.03051634641069,154.0,114.0,157.0,212.0,194.0,217.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1014B_CRC-Prim-HE-04_001.tif_Row_601_Col_151.tif,DEBRIS,255,13,179.90235555555554,147.13826666666668,179.6634222222222,30.648625472282532,39.621442484482024,32.90690038847921,139.0,93.0,136.0,213.0,192.0,217.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\101B2_CRC-Prim-HE-08_021.tif_Row_751_Col_1501.tif,DEBRIS,255,12,153.03097777777776,122.05075555555555,191.52942222222222,48.877994779968446,61.944862951626966,41.17063113028754,97.0,56.0,138.0,232.0,230.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\101C4_CRC-Prim-HE-08_023.tif_Row_1051_Col_151.tif,DEBRIS,255,19,162.99093333333334,134.91191111111112,189.95653333333334,47.358958392449544,57.06388599448954,41.52910705602894,100.0,64.0,133.0,229.0,221.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10288_CRC-Prim-HE-08_024.tif_Row_601_Col_301.tif,DEBRIS,255,27,163.7508,138.57977777777776,189.31137777777778,52.47532996480872,64.6312452125774,45.75048390140621,96.0,60.0,125.0,235.0,234.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\102A0_CRC-Prim-HE-09_003.tif_Row_151_Col_1.tif,DEBRIS,243,13,195.93333333333334,169.41653333333332,191.3032,21.709375342873575,29.677255226182563,23.736503130644607,170.0,134.0,163.0,220.0,205.0,218.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1031B_CRC-Prim-HE-08_024.tif_Row_1201_Col_151.tif,DEBRIS,255,16,152.35533333333333,124.07795555555556,182.84408888888888,48.566664429192535,56.67973153937676,44.44940947680345,91.0,59.0,125.0,226.0,215.10000000000218,242.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10408_CRC-Prim-HE-08_024.tif_Row_1051_Col_301.tif,DEBRIS,255,13,116.96151111111111,74.81022222222222,150.0576,28.957629329473995,30.651190043156905,39.028121684754716,81.0,38.0,93.0,154.0,114.0,195.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1041E_CRC-Prim-HE-08_023.tif_Row_601_Col_1.tif,DEBRIS,255,18,185.60204444444443,165.2168888888889,204.51804444444446,49.60378780606364,63.077554233648286,41.21576272035069,112.0,74.0,145.0,240.0,239.0,246.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\104E0_CRC-Prim-HE-08_023.tif_Row_1051_Col_1051.tif,DEBRIS,255,12,174.14804444444445,150.12702222222222,197.5167111111111,54.25377072976543,67.08151160109868,45.99797228217937,96.0,59.0,131.0,238.0,236.0,246.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10500_CRC-Prim-HE-08_021.tif_Row_451_Col_1201.tif,DEBRIS,255,20,145.04017777777779,113.8976,189.32413333333332,44.37074996450751,50.710403083653745,37.62070889260617,88.0,55.0,139.0,210.0,192.0,240.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10559_CRC-Prim-HE-08_021.tif_Row_1201_Col_1051.tif,DEBRIS,255,15,137.27426666666668,105.92724444444444,188.00782222222222,44.1409150085898,50.71279912919407,35.51997411365979,87.0,54.0,144.0,207.0,187.0,239.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1056A_CRC-Prim-HE-04_002.tif_Row_151_Col_751.tif,DEBRIS,255,14,173.32413333333332,146.4643111111111,182.83262222222223,54.74780121230639,68.58053184778814,50.685869017042144,87.0,46.0,108.0,234.0,233.0,240.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\105E5_CRC-Prim-HE-04_003.tif_Row_451_Col_151.tif,DEBRIS,247,17,200.18773333333334,177.91657777777777,196.8867111111111,19.50650833200708,25.779740897317854,22.02433222760905,179.9000000000001,150.0,173.0,219.0,203.0,218.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1062E_CRC-Prim-HE-08_023.tif_Row_751_Col_301.tif,DEBRIS,255,35,194.3387111111111,177.6146222222222,209.7504888888889,48.10617594105901,62.21101702691964,40.87710429221406,118.0,81.0,145.0,239.0,238.0,246.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10631_CRC-Prim-HE-08_021.tif_Row_901_Col_151.tif,DEBRIS,255,8,146.71555555555557,113.76902222222222,180.78662222222223,45.41644418565966,53.62633292142518,44.92869341685968,88.0,49.0,118.0,212.0,195.0,236.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10636_CRC-Prim-HE-04_021.tif_Row_1_Col_1.tif,DEBRIS,254,15,177.18382222222223,144.86373333333333,178.4976,33.000802489426825,42.91656515529738,33.65781327180954,128.0,80.0,129.0,213.0,194.0,215.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1070A_CRC-Prim-HE-08_023.tif_Row_1_Col_151.tif,DEBRIS,255,19,195.9868888888889,179.40991111111111,210.65217777777778,49.25539389852557,64.05050520741104,41.009588008058365,115.0,75.0,147.0,239.0,238.0,246.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10713_CRC-Prim-HE-09_004.tif_Row_301_Col_1.tif,DEBRIS,255,5,164.4275111111111,129.1136,166.1759111111111,49.96418751715971,64.85904910338706,51.11269976731024,100.0,49.0,101.0,230.0,221.0,232.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1087B_CRC-Prim-HE-07_002.tif_Row_1201_Col_1201.tif,DEBRIS,255,17,158.852,137.07031111111112,206.12613333333334,58.603212335160975,71.31588595594215,40.33868175756133,86.0,55.0,151.0,237.0,237.0,247.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10971_CRC-Prim-HE-04_010.tif_Row_1_Col_151.tif,DEBRIS,245,52,194.98662222222222,168.68795555555556,190.6492,17.527194075098603,24.02489647192918,20.23906688187198,172.0,137.0,164.0,216.0,199.0,215.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\109B2_CRC-Prim-HE-04_001.tif_Row_451_Col_151.tif,DEBRIS,255,15,179.22933333333333,146.35253333333333,178.48395555555555,25.913698342339863,33.75869119737908,29.704387411032226,147.0,102.0,141.0,208.0,186.0,212.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10A7C_CRC-Prim-HE-04_021.tif_Row_151_Col_1.tif,DEBRIS,255,9,167.74542222222223,133.47555555555556,172.64435555555556,38.09225863522439,48.01702825528824,38.77130905602783,113.0,65.0,119.0,212.0,194.0,219.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10AB3_CRC-Prim-HE-04_002.tif_Row_901_Col_451.tif,DEBRIS,255,6,169.22982222222223,133.60493333333332,169.6408,36.97703947604329,45.242043009375706,38.1741220931435,114.0,65.0,115.0,209.0,187.0,213.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10AED_CRC-Prim-HE-04_001.tif_Row_751_Col_751.tif,DEBRIS,255,12,171.64453333333333,134.60008888888888,172.60826666666668,26.425226144391214,33.16298177173014,27.579550606603757,139.0,91.0,139.0,202.0,175.0,206.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10B07_CRC-Prim-HE-04_001.tif_Row_301_Col_751.tif,DEBRIS,255,15,169.56733333333332,132.15,171.71604444444444,26.86190279518135,34.614933675126714,28.27484064830276,135.0,88.0,136.0,200.0,174.0,205.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10B3_CRC-Prim-HE-07_002.tif_Row_1201_Col_1.tif,DEBRIS,255,13,147.0079111111111,121.43862222222222,198.84995555555557,57.42215158777922,70.1326813142338,41.24644493769172,84.0,50.0,144.0,235.0,234.0,246.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10B8A_CRC-Prim-HE-06_038.tif_Row_151_Col_301.tif,DEBRIS,255,5,54.010133333333336,53.6128,155.79817777777777,28.24464841314585,25.041306953466947,35.833316914904216,28.0,31.0,113.0,92.0,86.0,206.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10BB3_CRC-Prim-HE-06_037.tif_Row_601_Col_151.tif,DEBRIS,255,2,51.49928888888889,51.666088888888886,147.44844444444445,29.57617433650286,26.839602850037195,34.404565068900986,25.0,29.0,109.0,90.0,85.0,196.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10C30_CRC-Prim-HE-03_010.tif_Row_751_Col_1501.tif,DEBRIS,255,21,102.10066666666667,72.93853333333334,182.2623111111111,38.10259774754346,40.83330883895891,31.722164589043103,68.0,41.0,145.0,156.0,126.0,232.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10CA8_CRC-Prim-HE-08_023.tif_Row_301_Col_301.tif,DEBRIS,255,15,172.806,149.44044444444444,189.8548888888889,58.953945938993236,74.24205193391401,54.98921559409912,89.0,48.0,105.0,239.0,237.0,246.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10CF3_CRC-Prim-HE-04_001.tif_Row_751_Col_1.tif,DEBRIS,255,28,186.8060888888889,155.92346666666666,185.62782222222222,24.015804949446814,32.81981394056555,27.606766789876325,156.0,113.0,150.0,214.0,194.0,218.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10D0E_CRC-Prim-HE-03_031.tif_Row_301_Col_451.tif,DEBRIS,255,16,102.07471111111111,71.16555555555556,180.52542222222223,30.125693287087213,30.737615251642932,28.768042808713165,72.0,44.0,148.0,146.0,114.0,223.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10D1_CRC-Prim-HE-03_014.tif_Row_151_Col_1201.tif,DEBRIS,255,25,151.1588888888889,124.3024,195.44555555555556,57.85061028093474,70.20453118342544,38.91413128389526,86.0,52.0,146.0,234.0,230.0,245.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10D8E_CRC-Prim-HE-07_002.tif_Row_601_Col_1201.tif,DEBRIS,255,17,150.3766222222222,120.72142222222222,206.29733333333334,40.29188200744323,47.650190100816445,30.057919525845563,99.0,65.0,168.0,209.0,191.0,242.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10DEE_CRC-Prim-HE-08_021.tif_Row_1_Col_151.tif,DEBRIS,255,12,139.6249777777778,108.46248888888888,183.15302222222223,46.169172765909636,52.7873450072696,41.04263698724063,84.0,52.0,131.0,210.0,193.0,240.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10E82_CRC-Prim-HE-08_021.tif_Row_451_Col_901.tif,DEBRIS,255,19,139.0916,109.7364,179.04373333333334,53.028323757696825,63.35303959677935,43.43242258774003,77.0,45.0,124.0,230.0,229.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10EDE_CRC-Prim-HE-09_018.tif_Row_1_Col_751.tif,DEBRIS,247,15,201.75604444444446,179.84075555555555,201.79035555555555,21.15940340259102,27.806902761848747,21.54894182207916,183.0,154.0,182.0,222.0,209.0,222.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10EEE_CRC-Prim-HE-06_037.tif_Row_301_Col_301.tif,DEBRIS,255,1,64.3612888888889,64.84573333333333,157.49622222222223,49.88095164494517,48.6974421141707,39.062413123891716,27.0,31.0,115.0,127.0,121.0,222.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\10F74_CRC-Prim-HE-08_021.tif_Row_1_Col_1351.tif,DEBRIS,255,13,119.90951111111112,88.10693333333333,170.24213333333333,45.09267778186107,49.16575172861724,41.18615887115448,71.0,41.0,117.0,192.0,167.0,227.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1101C_CRC-Prim-HE-05_031.tif_Row_301_Col_151.tif,DEBRIS,255,31,209.74417777777776,189.12182222222222,204.28155555555554,27.40403983786157,39.95182158844669,31.223284292732078,172.0,137.0,162.0,242.0,242.0,242.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\11023_CRC-Prim-HE-09_018.tif_Row_1_Col_1.tif,DEBRIS,255,11,178.23631111111112,143.9306222222222,175.97635555555556,31.313648095658873,40.50023906721652,33.731770333457746,140.0,92.0,135.0,213.0,193.0,214.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\11050_CRC-Prim-HE-08_024.tif_Row_301_Col_301.tif,DEBRIS,255,22,154.36808888888888,126.014,185.9492888888889,48.69929202671447,56.983455138799144,43.64106584838671,90.0,57.0,124.0,224.0,214.0,242.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1107E_CRC-Prim-HE-08_021.tif_Row_1651_Col_751.tif,DEBRIS,255,14,168.80595555555556,147.8300888888889,200.23191111111112,55.94327158508426,67.12627021097286,42.249269757172634,86.0,55.90000000000009,140.0,234.0,232.0,245.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\11137_CRC-Prim-HE-08_021.tif_Row_1651_Col_301.tif,DEBRIS,255,10,143.27613333333332,116.17884444444445,172.1303111111111,61.55165107762704,73.32872662195396,56.745292091678294,69.0,33.0,87.0,234.0,233.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1117B_CRC-Prim-HE-08_024.tif_Row_151_Col_151.tif,DEBRIS,255,28,158.58537777777778,130.86653333333334,186.98653333333334,48.72351793050213,58.11506830785479,43.39217488062946,94.0,59.0,127.0,231.0,224.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\111D9_CRC-Prim-HE-04_002.tif_Row_601_Col_151.tif,DEBRIS,255,12,175.08684444444444,140.20128888888888,174.34382222222223,28.898003242020504,38.65791703454669,31.249799424273615,137.0,88.0,132.0,209.0,186.0,211.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\11225_CRC-Prim-HE-10_018.tif_Row_151_Col_301.tif,DEBRIS,255,18,193.31657777777778,170.3803111111111,198.09071111111112,29.367875129496944,37.77121577652165,29.499645089105808,156.0,119.0,162.0,221.0,208.0,227.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\112CA_CRC-Prim-HE-07_002.tif_Row_1_Col_601.tif,DEBRIS,255,12,155.93173333333334,132.02146666666667,201.15262222222222,58.170434316335715,69.06855744889374,41.60648875424657,81.0,49.0,143.0,235.0,233.0,245.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\112E7_CRC-Prim-HE-07_002.tif_Row_151_Col_901.tif,DEBRIS,255,19,153.24035555555557,122.77026666666667,205.72088888888888,39.44970590351178,47.45745205896393,30.76028549370638,104.0,67.0,166.0,209.0,191.0,242.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\11305_CRC-Prim-HE-03_024.tif_Row_1_Col_1.tif,DEBRIS,255,11,141.62102222222222,110.67257777777778,160.0767111111111,59.41022039140279,70.83206144128313,56.13888634315671,73.0,36.0,89.0,230.0,223.0,236.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\1132C_CRC-Prim-HE-03_014.tif_Row_301_Col_1051.tif,DEBRIS,255,7,138.6,108.98853333333334,191.12244444444445,52.58668779580186,62.43583409891064,37.39357500697776,84.0,51.0,146.0,230.0,227.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\05_DEBRIS\11387_CRC-Prim-HE-04_002.tif_Row_601_Col_1051.tif,DEBRIS,254,8,147.8998222222222,105.94213333333333,155.4168,33.9057623416492,37.84522553629899,35.67642810322302,103.0,55.0,112.0,188.0,154.0,198.0
