,label,max,min,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_q01,green_q01,blue_q01,red_q09,green_q09,blue_q09
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10015_CRC-Prim-HE-06_005.tif_Row_4651_Col_1501.tif,EMPTY,249,205,241.4897777777778,241.94417777777778,240.96648888888888,1.2880760655402181,1.4753363049962696,1.4451563948003205,241.0,241.0,240.0,243.0,243.0,242.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10043_CRC-Prim-HE-06_005.tif_Row_3301_Col_3151.tif,EMPTY,251,150,242.4666222222222,242.85844444444444,241.71675555555555,2.2680381467389603,2.77270942946539,2.2349733595783903,241.0,242.0,240.0,244.0,244.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10054_CRC-Prim-HE-06_005.tif_Row_3301_Col_5251.tif,EMPTY,251,222,243.01773333333333,243.13497777777778,242.02084444444444,1.9918045910399804,1.3463542952710688,1.4515160496767332,241.0,242.0,240.0,246.0,245.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\100C2_CRC-Prim-HE-10_026.tif_Row_1651_Col_301.tif,EMPTY,249,194,240.47417777777778,241.6492888888889,241.69106666666667,2.04417869722105,1.6973121054212803,1.666368031911771,238.0,240.0,240.0,243.0,243.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\100D3_CRC-Prim-HE-06_005.tif_Row_151_Col_6901.tif,EMPTY,253,180,242.8425777777778,243.96675555555555,243.19964444444443,2.685884174625951,2.436948302516093,2.145788610853226,240.0,242.0,242.0,246.0,246.0,245.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10128_CRC-Prim-HE-06_005.tif_Row_5401_Col_7651.tif,EMPTY,255,173,243.16493333333332,242.33186666666666,242.1235111111111,2.6251004840031076,2.10511495173048,2.220948372227165,241.0,241.0,240.0,246.0,244.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10133_CRC-Prim-HE-06_005.tif_Row_301_Col_5251.tif,EMPTY,255,180,242.88755555555556,244.25173333333333,243.06826666666666,2.302090987250531,2.0476564642428197,1.759408264161725,241.0,243.0,242.0,245.0,246.0,245.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\1018F_CRC-Prim-HE-06_005.tif_Row_901_Col_1.tif,EMPTY,252,151,242.23,242.73808888888888,243.15355555555556,3.412022860415781,3.745940367456805,3.180513344698061,240.0,241.0,242.0,245.0,245.0,245.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\101D0_CRC-Prim-HE-06_005.tif_Row_1351_Col_6451.tif,EMPTY,254,151,242.38791111111112,243.09573333333333,242.28071111111112,3.1036488333875454,2.9127290784497464,2.592065059387892,239.0,241.0,240.0,246.0,245.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\101F4_CRC-Prim-HE-06_005.tif_Row_3151_Col_7201.tif,EMPTY,253,175,243.06746666666666,243.17111111111112,242.58364444444445,2.9940651340053015,2.932236326857672,2.419031772843184,240.0,241.0,241.0,246.0,245.0,245.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\101FA_CRC-Prim-HE-06_005.tif_Row_3151_Col_1351.tif,EMPTY,250,150,243.2052888888889,243.09355555555555,241.966,2.7686721295575274,2.724229273721672,2.162149033818792,241.0,242.0,241.0,246.0,245.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10207_CRC-Prim-HE-06_005.tif_Row_2401_Col_4201.tif,EMPTY,250,206,243.43168888888889,243.38155555555556,242.0581777777778,2.2062537964435216,1.6319224594264004,1.4885167156735337,241.0,242.0,241.0,246.0,245.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10221_CRC-Prim-HE-10_026.tif_Row_4051_Col_151.tif,EMPTY,250,190,238.9867111111111,238.56813333333332,240.84217777777778,2.4651439139619247,2.3348047893654083,2.4293993156872906,236.0,236.0,238.0,242.0,241.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\1022E_CRC-Prim-HE-06_005.tif_Row_1651_Col_3601.tif,EMPTY,255,118,242.89715555555554,243.81573333333333,242.56693333333334,2.909631652560118,2.5882128574664818,2.5519160418097604,241.0,243.0,241.0,245.0,245.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10232_CRC-Prim-HE-06_005.tif_Row_1801_Col_2701.tif,EMPTY,254,197,242.8068,243.96635555555557,242.56608888888888,2.152571171619841,1.7849435864795786,1.5849111551996742,241.0,243.0,242.0,245.0,245.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10251_CRC-Prim-HE-06_005.tif_Row_4201_Col_3451.tif,EMPTY,250,184,241.44026666666667,241.2391111111111,240.85395555555556,2.387548425570517,2.4118741649710023,2.265804718030021,239.0,239.0,239.0,244.0,243.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\1026A_CRC-Prim-HE-06_005.tif_Row_2101_Col_5101.tif,EMPTY,254,178,242.84075555555555,243.66857777777778,242.6124888888889,2.4057563112535267,2.0046787993080497,1.9186371392470987,240.0,242.0,241.0,245.0,245.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\1029E_CRC-Prim-HE-06_005.tif_Row_3901_Col_7951.tif,EMPTY,252,206,242.42324444444444,242.7204888888889,241.99417777777776,1.9723921534304536,1.9469537987123353,2.094991246747871,241.0,241.0,240.0,244.0,244.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\102B7_CRC-Prim-HE-06_005.tif_Row_5851_Col_1951.tif,EMPTY,251,118,230.7027111111111,228.1364,230.36724444444445,16.317203511252803,18.68968389055499,15.70231753476102,208.0,201.0,208.0,243.0,243.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\102B_CRC-Prim-HE-06_005.tif_Row_1951_Col_601.tif,EMPTY,255,156,242.09395555555557,243.952,243.03742222222223,3.066633173408113,3.892512242184829,2.9964756371364842,241.0,243.0,241.0,244.0,246.0,245.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\102D5_CRC-Prim-HE-06_005.tif_Row_6151_Col_5101.tif,EMPTY,254,207,242.46853333333334,242.56666666666666,242.08924444444443,2.193614182626574,1.7055074187922301,1.8607620560231113,240.0,241.0,240.0,245.0,244.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\1031E_CRC-Prim-HE-06_005.tif_Row_5851_Col_751.tif,EMPTY,250,125,240.82253333333333,240.5948,240.58964444444445,4.3701328512725786,6.0329200285684506,4.450329262003677,239.0,239.0,239.0,243.0,243.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10322_CRC-Prim-HE-06_005.tif_Row_5551_Col_451.tif,EMPTY,250,185,240.57351111111112,239.6528888888889,239.66524444444445,2.125144832943816,2.0199346768561015,1.9415299941087352,239.0,238.0,238.0,243.0,242.0,242.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10337_CRC-Prim-HE-06_005.tif_Row_5101_Col_3151.tif,EMPTY,249,216,241.19235555555557,241.02373333333333,241.26791111111112,1.5627537682713282,1.7217991417250817,1.9001874974412163,240.0,240.0,239.0,243.0,243.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\1035_CRC-Prim-HE-06_005.tif_Row_4801_Col_2701.tif,EMPTY,248,218,241.23368888888888,241.292,240.96853333333334,1.5628928138724465,1.5539420838628075,1.5669321987741263,240.0,240.0,239.0,243.0,243.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10363_CRC-Prim-HE-06_005.tif_Row_4951_Col_1651.tif,EMPTY,252,215,241.3044,241.3524888888889,240.70342222222223,1.5701969359854968,1.6299612895501159,1.9495633298982011,240.0,240.0,238.0,243.0,243.0,243.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\103C7_CRC-Prim-HE-06_005.tif_Row_1351_Col_7651.tif,EMPTY,255,163,243.19173333333333,243.12395555555557,242.44622222222222,3.259453685648724,2.8393214209309834,2.661193791339102,240.0,242.0,241.0,246.0,245.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\103DB_CRC-Prim-HE-06_005.tif_Row_1651_Col_6751.tif,EMPTY,250,222,242.1615111111111,242.83395555555555,242.4752,2.0853677386571676,1.2758205717725701,1.4710111654535443,240.0,242.0,241.0,245.0,244.0,244.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\08_EMPTY\10433_CRC-Prim-HE-06_005.tif_Row_4351_Col_2701.tif,EMPTY,255,110,241.53693333333334,241.5821777777778,241.17577777777777,2.896252815852422,3.1270934555121683,3.132069240676942,240.0,240.0,239.0,243.0,243.0,243.0
