,label,max,min,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_q01,green_q01,blue_q01,red_q09,green_q09,blue_q09
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\04_LYMPHO\1017A_CRC-Prim-HE-05_022.tif_Row_301_Col_1.tif,LYMPHO,233,0,100.02373333333334,49.5352,109.57493333333333,23.29475794765859,22.029468265737048,35.285282208752115,68.0,21.0,57.0,129.0,77.0,152.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\04_LYMPHO\10292_CRC-Prim-HE-02_016.tif_Row_1_Col_1.tif,LYMPHO,255,1,125.01488888888889,79.04951111111112,108.04884444444444,48.015605802105696,54.1841817198512,57.3574024361306,66.0,22.0,40.0,194.0,160.0,193.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\04_LYMPHO\102C5_CRC-Prim-HE-01_004.tif_Row_451_Col_301.tif,LYMPHO,255,0,69.89911111111111,35.99271111111111,83.69911111111111,42.04451555314605,42.96935797344278,54.52397759282785,35.0,8.0,34.0,129.0,89.0,174.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\04_LYMPHO\1030C_CRC-Prim-HE-05_010.tif_Row_1051_Col_151.tif,LYMPHO,255,0,116.69195555555555,70.62568888888889,113.74426666666666,43.30666150654499,47.3308917453951,56.57064197793367,63.0,19.0,43.0,175.0,136.0,190.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\04_LYMPHO\10349_CRC-Prim-HE-09_006.tif_Row_601_Col_151.tif,LYMPHO,255,5,126.20822222222222,80.05684444444445,131.68262222222222,41.20537369426409,46.03743804820658,52.12816709495567,72.0,25.0,56.0,182.0,144.0,199.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\04_LYMPHO\1045F_CRC-Prim-HE-05_003.tif_Row_301_Col_1501.tif,LYMPHO,255,0,101.52324444444444,57.24968888888889,99.8167111111111,46.99168098629809,52.0639159528719,56.81079010055988,52.0,13.0,37.0,173.0,133.0,188.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\04_LYMPHO\104BB_CRC-Prim-HE-01_029.tif_Row_1_Col_151.tif,LYMPHO,255,0,81.39933333333333,49.6468,103.0316888888889,50.68019073453569,53.35697147810694,64.8610153090861,34.0,9.0,36.0,163.0,133.0,212.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\04_LYMPHO\104E0_CRC-Prim-HE-02.tif_Row_1051_Col_301.tif,LYMPHO,255,3,114.94555555555556,69.40208888888888,95.92555555555556,44.64801118156475,49.52207646957803,55.092888149845336,64.0,20.0,37.0,183.0,146.10000000000218,181.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\04_LYMPHO\104F5_CRC-Prim-HE-09_005.tif_Row_601_Col_151.tif,LYMPHO,255,4,120.95311111111111,76.09488888888889,132.24906666666666,35.61816361366567,39.73803574646892,49.43525248259363,74.0,27.0,59.0,167.0,128.0,193.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\04_LYMPHO\10527_CRC-Prim-HE-02_001b.tif_Row_151_Col_1.tif,LYMPHO,255,7,122.4824,81.51426666666667,101.26048888888889,54.92357115135364,62.51187493247429,64.67253934660965,62.0,22.0,36.0,211.0,187.10000000000218,211.0
