,label,max,min,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_q01,green_q01,blue_q01,red_q09,green_q09,blue_q09
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\10088_CRC-Prim-HE-08_022.tif_Row_751_Col_151.tif,MUCOSA,255,5,120.26097777777778,80.18995555555556,133.08831111111112,51.32554293201537,56.02509680886321,57.993040013751056,55.0,19.0,54.0,191.0,161.0,210.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\1008A_CRC-Prim-HE-03_007.tif_Row_301_Col_1051.tif,MUCOSA,255,8,148.3103111111111,111.35822222222222,159.60093333333333,47.13850203051638,53.589932192483445,49.11097174558394,76.0,34.0,80.0,205.0,181.0,215.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\100CB_CRC-Prim-HE-08_025.tif_Row_1201_Col_1.tif,MUCOSA,255,5,122.9627111111111,82.53306666666667,132.54764444444444,51.02451250335915,55.218666086509145,55.92234136139374,56.0,20.0,52.0,193.0,162.0,205.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\100CC_CRC-Prim-HE-08_022.tif_Row_301_Col_151.tif,MUCOSA,255,2,105.21977777777778,64.08111111111111,120.90973333333334,47.322880629368754,49.197051841309715,59.047641657074195,49.0,14.0,45.0,171.0,132.0,202.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\1012C_CRC-Prim-HE-05_030.tif_Row_1201_Col_901.tif,MUCOSA,255,8,150.79835555555556,109.38737777777777,147.83226666666667,44.782171124557266,54.75569077082851,46.95039508739229,92.0,42.0,83.0,213.0,191.0,209.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\10192_CRC-Prim-HE-07_001_copy.tif_Row_1501_Col_301.tif,MUCOSA,255,5,150.42991111111112,116.17382222222223,168.81431111111112,50.543800353894476,59.9705072630759,49.41889795606637,76.0,34.0,96.0,209.0,191.0,225.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\1021_CRC-Prim-HE-05_030.tif_Row_901_Col_1.tif,MUCOSA,255,10,183.06675555555555,150.3008888888889,176.9139111111111,36.727799784754374,46.697573090506495,35.288052901684786,128.0,77.0,125.0,220.0,199.0,214.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\102AE_CRC-Prim-HE-09_001.tif_Row_1351_Col_451.tif,MUCOSA,255,6,130.99404444444446,85.80573333333334,126.86893333333333,46.11470683798807,53.76934023540776,52.29242498123213,75.0,28.0,57.0,202.0,174.0,201.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\102C4_CRC-Prim-HE-05_001.tif_Row_301_Col_1201.tif,MUCOSA,254,2,113.8772,69.73573333333333,111.01702222222222,46.12834255451846,50.573718546032524,47.18599626560105,61.0,19.0,52.0,187.0,157.0,181.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\10327_CRC-Prim-HE-05.tif_Row_901_Col_901.tif,MUCOSA,255,2,141.3207111111111,103.14635555555556,137.18337777777776,55.416623157325205,65.70183188758632,58.72640722812756,67.0,25.0,56.0,218.0,200.0,219.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\10333_CRC-Prim-HE-09_001.tif_Row_1651_Col_1.tif,MUCOSA,255,7,137.44608888888888,92.13275555555556,132.6479111111111,44.69938483584787,52.93401866019639,50.415966938096346,80.0,30.0,63.0,202.0,173.0,201.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\1041C_CRC-Prim-HE-05.tif_Row_901_Col_1351.tif,MUCOSA,255,7,134.6212,91.60555555555555,131.40546666666665,49.05891083974676,57.88138073510801,52.120802384716555,74.90000000000009,28.0,61.0,210.0,188.0,204.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\06_MUCOSA\10452_CRC-Prim-HE-05_001.tif_Row_1_Col_1.tif,MUCOSA,255,0,112.54448888888889,65.82071111111111,118.47742222222222,37.305315955189954,38.5489234601792,47.99938774169217,61.0,18.0,49.0,160.0,116.0,179.0
