,label,max,min,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_q01,green_q01,blue_q01,red_q09,green_q09,blue_q09
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1000D_CRC-Prim-HE-01_028.tif_Row_451_Col_151.tif,NONCANCEROUS,255,4,100.44253333333333,77.78573333333334,177.45635555555555,54.262905150387944,58.654184285863224,46.474983541282576,51.0,28.0,114.0,198.0,184.0,238.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1000E_CRC-Prim-HE-04.tif_Row_1501_Col_451.tif,NONCANCEROUS,255,10,116.18288888888888,74.0096,162.9956,16.266459578220452,16.926494585445464,23.675428016217804,95.0,53.0,131.0,135.0,93.0,188.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10049_CRC-Prim-HE-07_014.tif_Row_601_Col_3001.tif,NONCANCEROUS,255,1,119.128,84.34724444444444,168.0112,45.65670225108746,53.51295418625539,48.376536634842104,73.0,34.0,100.0,193.0,171.0,234.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10056_CRC-Prim-HE-05_009b.tif_Row_451_Col_1201.tif,NONCANCEROUS,255,12,142.8696888888889,99.27937777777778,175.06444444444443,22.896749820610946,26.309143177305398,27.56099059303093,116.0,69.0,142.0,172.0,132.0,204.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10078_CRC-Prim-HE-03_001.tif_Row_151_Col_601.tif,NONCANCEROUS,255,13,143.63906666666668,110.13391111111112,167.6056888888889,48.53171694213099,57.773900114852594,49.533701062710236,82.0,42.0,96.0,217.0,203.0,233.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10093_CRC-Prim-HE-07_026.tif_Row_751_Col_451.tif,NONCANCEROUS,255,5,89.71648888888889,65.30155555555555,174.1460888888889,44.58811524890744,49.28854676316461,35.297860687976296,57.0,33.0,133.0,159.0,129.0,224.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100A6_CRC-Prim-HE-02_015.tif_Row_451_Col_901.tif,NONCANCEROUS,255,25,179.06982222222223,147.40155555555555,185.5263111111111,35.94665758487091,45.26580016134537,40.10284967642433,132.0,92.0,136.0,231.0,214.0,239.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100A6_CRC-Prim-HE-02_029.tif_Row_601_Col_301.tif,NONCANCEROUS,255,17,160.67004444444444,121.26208888888888,165.79546666666667,35.80941428665904,46.79979556547139,44.7514125103457,118.0,67.0,102.0,214.0,193.0,226.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100AD_CRC-Prim-HE-03_011.tif_Row_451_Col_1.tif,NONCANCEROUS,255,2,90.2588,54.571777777777775,149.18617777777777,19.921200329297406,19.874145213080723,36.73668290916321,66.0,30.0,97.90000000000009,115.0,79.0,192.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100BA_CRC-Prim-HE-03_016.tif_Row_1_Col_451.tif,NONCANCEROUS,255,4,118.19031111111111,77.6572,165.42733333333334,25.49449359966279,26.949425047340487,34.514453133594756,86.0,43.0,114.0,151.0,112.0,201.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100C9_CRC-Prim-HE-05_002b.tif_Row_1501_Col_301.tif,NONCANCEROUS,245,0,107.39231111111111,62.31342222222222,146.71071111111112,18.375425703092542,18.57899620119309,30.134032454000717,86.0,39.0,101.0,130.0,85.0,179.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100F5_CRC-Prim-HE-03.tif_Row_301_Col_1201.tif,NONCANCEROUS,255,6,132.62813333333332,94.22177777777777,163.88982222222222,43.50081970701478,50.358973305609034,48.32029059390569,81.0,39.0,94.0,197.0,169.0,226.0
