,label,max,min,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_q01,green_q01,blue_q01,red_q09,green_q09,blue_q09
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1000D_CRC-Prim-HE-01_028.tif_Row_451_Col_151.tif,STROMA,255,4,100.44253333333333,77.78573333333334,177.45635555555555,54.262905150387944,58.654184285863224,46.474983541282576,51.0,28.0,114.0,198.0,184.0,238.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1000E_CRC-Prim-HE-04.tif_Row_1501_Col_451.tif,STROMA,255,10,116.18288888888888,74.0096,162.9956,16.266459578220452,16.926494585445464,23.675428016217804,95.0,53.0,131.0,135.0,93.0,188.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10049_CRC-Prim-HE-07_014.tif_Row_601_Col_3001.tif,STROMA,255,1,119.128,84.34724444444444,168.0112,45.65670225108746,53.51295418625539,48.376536634842104,73.0,34.0,100.0,193.0,171.0,234.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10056_CRC-Prim-HE-05_009b.tif_Row_451_Col_1201.tif,STROMA,255,12,142.8696888888889,99.27937777777778,175.06444444444443,22.896749820610946,26.309143177305398,27.56099059303093,116.0,69.0,142.0,172.0,132.0,204.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10078_CRC-Prim-HE-03_001.tif_Row_151_Col_601.tif,STROMA,255,13,143.63906666666668,110.13391111111112,167.6056888888889,48.53171694213099,57.773900114852594,49.533701062710236,82.0,42.0,96.0,217.0,203.0,233.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10093_CRC-Prim-HE-07_026.tif_Row_751_Col_451.tif,STROMA,255,5,89.71648888888889,65.30155555555555,174.1460888888889,44.58811524890744,49.28854676316461,35.297860687976296,57.0,33.0,133.0,159.0,129.0,224.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100A6_CRC-Prim-HE-02_015.tif_Row_451_Col_901.tif,STROMA,255,25,179.06982222222223,147.40155555555555,185.5263111111111,35.94665758487091,45.26580016134537,40.10284967642433,132.0,92.0,136.0,231.0,214.0,239.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100A6_CRC-Prim-HE-02_029.tif_Row_601_Col_301.tif,STROMA,255,17,160.67004444444444,121.26208888888888,165.79546666666667,35.80941428665904,46.79979556547139,44.7514125103457,118.0,67.0,102.0,214.0,193.0,226.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100AD_CRC-Prim-HE-03_011.tif_Row_451_Col_1.tif,STROMA,255,2,90.2588,54.571777777777775,149.18617777777777,19.921200329297406,19.874145213080723,36.73668290916321,66.0,30.0,97.90000000000009,115.0,79.0,192.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100BA_CRC-Prim-HE-03_016.tif_Row_1_Col_451.tif,STROMA,255,4,118.19031111111111,77.6572,165.42733333333334,25.49449359966279,26.949425047340487,34.514453133594756,86.0,43.0,114.0,151.0,112.0,201.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100C9_CRC-Prim-HE-05_002b.tif_Row_1501_Col_301.tif,STROMA,245,0,107.39231111111111,62.31342222222222,146.71071111111112,18.375425703092542,18.57899620119309,30.134032454000717,86.0,39.0,101.0,130.0,85.0,179.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\100F5_CRC-Prim-HE-03.tif_Row_301_Col_1201.tif,STROMA,255,6,132.62813333333332,94.22177777777777,163.88982222222222,43.50081970701478,50.358973305609034,48.32029059390569,81.0,39.0,94.0,197.0,169.0,226.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1011A_CRC-Prim-HE-03_016.tif_Row_601_Col_301.tif,STROMA,255,12,123.4332888888889,90.23644444444444,185.064,30.26820911387132,33.163873326628874,27.33679314688466,92.0,59.0,154.0,163.0,130.0,217.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10121_CRC-Prim-HE-03_003.tif_Row_601_Col_751.tif,STROMA,255,7,146.8000888888889,111.7996888888889,181.57368888888888,41.47644836387267,49.68577448898092,35.606315809181766,97.0,58.0,139.0,208.0,188.0,230.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1013A_CRC-Prim-HE-05_002b.tif_Row_601_Col_451.tif,STROMA,253,12,116.25991111111111,69.45084444444444,145.8216,21.749421488931645,23.281394225103742,31.751200783872402,90.0,41.0,97.0,144.0,98.0,181.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1015E_CRC-Prim-HE-05_009b.tif_Row_751_Col_751.tif,STROMA,255,8,143.85906666666668,101.35435555555556,170.24155555555555,28.982199978147626,34.09967202393967,34.82896887844665,111.0,62.0,120.0,182.0,147.0,206.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10164_CRC-Prim-HE-01_050.tif_Row_1201_Col_901.tif,STROMA,255,1,97.98977777777777,68.96346666666666,176.73097777777778,37.18941524973582,39.56556750486665,41.528484793767305,61.0,32.0,118.0,151.0,122.0,230.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10172_CRC-Prim-HE-09.tif_Row_751_Col_2251.tif,STROMA,255,6,130.95742222222222,84.71022222222223,163.31084444444446,20.94407708424061,22.343552536484378,28.489463123490026,107.0,59.0,128.0,158.0,113.0,192.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\101AC_CRC-Prim-HE-04.tif_Row_451_Col_3301.tif,STROMA,227,11,103.45533333333333,62.153911111111114,153.38897777777777,13.983552417830875,14.632068291290556,25.075281911776496,86.0,43.0,116.0,121.0,79.0,180.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\101B2_CRC-Prim-HE-03_008.tif_Row_1051_Col_151.tif,STROMA,255,14,174.07626666666667,149.45755555555556,205.07746666666668,48.571596238680435,59.363064635458244,37.08975658264662,106.0,71.0,157.0,236.0,233.0,245.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\101FB_CRC-Prim-HE-04.tif_Row_601_Col_1201.tif,STROMA,234,21,120.13613333333333,77.22551111111112,163.83004444444444,11.888029504224992,13.489705962732652,21.044378600107837,105.0,59.0,133.0,135.0,93.0,185.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10202_CRC-Prim-HE-02_011.tif_Row_451_Col_1.tif,STROMA,255,16,174.9396888888889,143.22826666666666,188.92666666666668,27.860741920265696,34.03543749447022,35.150923490318505,142.0,103.0,153.0,206.0,181.0,223.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1023E_CRC-Prim-HE-07_014.tif_Row_901_Col_301.tif,STROMA,255,5,94.98155555555556,60.99764444444445,172.78697777777776,16.45964944348651,16.43182667218419,28.55610149589651,77.0,42.0,134.0,115.0,79.0,200.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10256_CRC-Prim-HE-07_016.tif_Row_601_Col_151.tif,STROMA,255,7,113.76706666666666,85.16813333333333,177.59008888888889,50.7353167358246,56.654713622315406,39.626936063363075,67.0,39.0,130.0,203.0,186.0,237.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\10257_CRC-Prim-HE-03_015.tif_Row_301_Col_301.tif,STROMA,255,18,139.4184,103.46217777777778,183.56964444444444,34.791579557511824,40.18556668107957,29.42527097366456,100.0,63.0,149.0,188.0,158.0,220.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1025B_CRC-Prim-HE-04.tif_Row_1051_Col_1501.tif,STROMA,240,15,113.16662222222222,69.8504,155.9178222222222,13.42534970914506,15.019484303027435,25.06702220784494,97.0,50.0,120.0,129.0,87.0,181.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1027_CRC-Prim-HE-04.tif_Row_1501_Col_1501.tif,STROMA,202,12,104.98968888888889,61.324222222222225,147.66462222222222,10.654075084360638,11.557784868292421,20.777189671249218,92.0,47.0,119.0,117.0,74.0,167.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\1029F_CRC-Prim-HE-03.tif_Row_301_Col_151.tif,STROMA,255,14,145.90013333333334,109.37222222222222,180.38577777777778,35.95438381529835,41.74200316701488,33.970094984911775,101.0,61.0,137.0,193.0,165.0,221.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\102A2_CRC-Prim-HE-03.tif_Row_601_Col_1351.tif,STROMA,255,10,142.12626666666668,106.86035555555556,175.30648888888888,45.94695312176125,54.17856535451644,45.56901405932305,86.0,47.0,114.0,212.0,193.0,236.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\102DB_CRC-Prim-HE-01_018.tif_Row_1_Col_301.tif,STROMA,255,8,85.85702222222223,63.5036,171.20191111111112,44.68564026892714,48.17906632018153,38.18031122498264,54.0,33.0,125.0,154.0,123.0,230.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\102DF_CRC-Prim-HE-04.tif_Row_1651_Col_1351.tif,STROMA,209,9,101.7284,57.05897777777778,142.08733333333333,11.87457648816701,11.67777896783984,20.424620643831958,88.0,43.0,115.0,116.0,71.0,162.0
C:\Users\riley\OneDrive\Desktop\CRC_Research\Kather_texture_2016_image_tiles_5000\02_STROMA\102E8_CRC-Prim-HE-05_009b.tif_Row_151_Col_751.tif,STROMA,255,10,134.26124444444446,90.02617777777778,165.2787111111111,25.73351675682098,29.717360119999544,33.62411119196863,105.0,55.0,113.0,167.0,127.0,200.0
